======================
📄 DUMP FILAS LEÍDAS
======================
Fila #0 → REF=10107 | PADRE=- | ASOC=10107-10106-94073 | DESC=Rejilla Reposa Patas de Plástico para c
Fila #161 → REF=30052 | PADRE=- | ASOC=90780-90781-90783-90749-90782-70517-30052-94114 | DESC=Alfombrilla trebol para nido
Fila #162 → REF=30053 | PADRE=- | ASOC=30053-30054-71238-71239-94102 | DESC=Corona Diametro 60mm
Fila #163 → REF=30054 | PADRE=- | ASOC=30053-30054-71238-71239-94102 | DESC=Boca plastico comedero perdices anti-des
Fila #164 → REF=30056 | PADRE=- | ASOC=- | DESC=Corona para taladro - 100 mm.
Fila #165 → REF=30057 | PADRE=- | ASOC=30057-30007-94156 | DESC=Boca de plástico comedero anti-desperdi
Fila #166 → REF=30058 | PADRE=- | ASOC=30760-30761-30769-30762-30763-30798-30066-30067-30068-30069-30070-30071-30155-30156-30157-30095-30062-30063-30064-30065-30058-30084-30266-94009 | DESC=Depósito 55 l. con 2 bocas comedero ant
Fila #167 → REF=30062 | PADRE=- | ASOC=30760-30761-30769-30762-30763-30798-30066-30067-30068-30069-30070-30071-30155-30156-30157-30095-30062-30063-30064-30065-30058-30084-30266-94009 | DESC=Comedero Tolva Exterior Aves Camuflaje 1
Fila #168 → REF=30063 | PADRE=- | ASOC=30760-30761-30769-30762-30763-30798-30066-30067-30068-30069-30070-30071-30155-30156-30157-30095-30062-30063-30064-30065-30058-30084-30266-94009 | DESC=Comedero Tolva Exterior Aves Camuflaje 2
Fila #169 → REF=30064 | PADRE=- | ASOC=30760-30761-30769-30762-30763-30798-30066-30067-30068-30069-30070-30071-30155-30156-30157-30095-30062-30063-30064-30065-30058-30084-30266-94009 | DESC=Comedero Tolva Exterior Aves Camuflaje 4
Fila #170 → REF=30065 | PADRE=- | ASOC=30760-30761-30769-30762-30763-30798-30066-30067-30068-30069-30070-30071-30155-30156-30157-30095-30062-30063-30064-30065-30058-30084-30266-94009 | DESC=Comedero Tolva Exterior Aves Camuflaje 8
Fila #171 → REF=30066 | PADRE=- | ASOC=30760-30761-30769-30762-30763-30798-30066-30067-30068-30069-30070-30071-30155-30156-30157-30095-30062-30063-30064-30065-30058-30084-30266-94009 | DESC=Comedero Tolva Aves Safeed 6Kg -  10L Ca
Fila #172 → REF=30067 | PADRE=- | ASOC=30760-30761-30769-30762-30763-30798-30066-30067-30068-30069-30070-30071-30155-30156-30157-30095-30062-30063-30064-30065-30058-30084-30266-94009 | DESC=Comedero Tolva Aves Safeed 12Kg -  20L C
Fila #173 → REF=30068 | PADRE=- | ASOC=30760-30761-30769-30762-30763-30798-30066-30067-30068-30069-30070-30071-30155-30156-30157-30095-30062-30063-30064-30065-30058-30084-30266-94009 | DESC=Comedero Tolva Aves Safeed 20Kg -  33.5L
Fila #174 → REF=30069 | PADRE=- | ASOC=30760-30761-30769-30762-30763-30798-30066-30067-30068-30069-30070-30071-30155-30156-30157-30095-30062-30063-30064-30065-30058-30084-30266-94009 | DESC=Comedero Tolva Aves Safeed 30Kg -  50L C
