======================
📘 INICIO DE LECTURA EXCEL
======================
📄 Fila 125 → ref=30014 | desc=Comedero Aves 35L C/Patas (En caja 4 unidades) | padre=- | asociados=30274-30275-30276-30170-30166-30173-30172-30168-30174-30176-30178-30014-30032-30020-30018-30015-30033-30021-30019-94010 | vacía=no
📄 Fila 126 → ref=30015 | desc=Comedero Aves 45L C/Patas (En caja 4 Unidad) | padre=- | asociados=30274-30275-30276-30170-30166-30173-30172-30168-30174-30176-30178-30014-30032-30020-30018-30015-30033-30021-30019-94010 | vacía=no
📄 Fila 127 → ref=30016 | desc=Bebedero Aves 35L C/Patas (A granel) | padre=- | asociados=30167-30169-30165-30171-30173-30174-30175-30177-30012-30013-30016-30017-30020-30021-30030-30031-30271-30272-30273-94003 | vacía=no
📄 Fila 128 → ref=30017 | desc=Bebedero Aves 45L C/Patas (A granel) | padre=- | asociados=30167-30169-30165-30171-30173-30174-30175-30177-30012-30013-30016-30017-30020-30021-30030-30031-30271-30272-30273-94003 | vacía=no
📄 Fila 129 → ref=30018 | desc=Comedero Aves 35L C/Patas (A granel) | padre=- | asociados=30274-30275-30276-30170-30166-30173-30172-30168-30174-30176-30178-30014-30032-30020-30018-30015-30033-30021-30019-94010 | vacía=no
📄 Fila 130 → ref=30019 | desc=Comedero Aves 45L C/Patas (A granel) | padre=- | asociados=30274-30275-30276-30170-30166-30173-30172-30168-30174-30176-30178-30014-30032-30020-30018-30015-30033-30021-30019-94010 | vacía=no
📄 Fila 131 → ref=30020 | desc=Bebedero + Comedero Aves 35L C/Patas (Pack 2+2UD) | padre=- | asociados=30167-30169-30165-30171-30173-30174-30175-30177-30012-30013-30016-30017-30020-30021-30030-30031-30271-30272-30273-94003 | vacía=no
📄 Fila 132 → ref=30021 | desc=Bebedero + Comedero Aves 45L C/Patas (Pack 2+2UD) | padre=- | asociados=30167-30169-30165-30171-30173-30174-30175-30177-30012-30013-30016-30017-30020-30021-30030-30031-30271-30272-30273-94003 | vacía=no
📄 Fila 133 → ref=30022 | desc=Bebedero pollos 8L Royal Rojo | padre=- | asociados=30243-30335-30223-30244-30233-30078-30301-30224-30300-30225-30429-30226-30022-30023-30024-30025-30227-30228-30229-30616-30617-30618-30026-30027-30028-30029-94031 | vacía=no
📄 Fila 134 → ref=30023 | desc=Bebedero pollos 8L Royal Azul | padre=- | asociados=30243-30335-30223-30244-30233-30078-30301-30224-30300-30225-30429-30226-30022-30023-30024-30025-30227-30228-30229-30616-30617-30618-30026-30027-30028-30029-94031 | vacía=no
📄 Fila 135 → ref=30024 | desc=Bebedero pollos 12L Royal Rojo | padre=- | asociados=30243-30335-30223-30244-30233-30078-30301-30224-30300-30225-30429-30226-30022-30023-30024-30025-30227-30228-30229-30616-30617-30618-30026-30027-30028-30029-94031 | vacía=no
📄 Fila 136 → ref=30025 | desc=Bebedero pollos 12L Royal Azul | padre=- | asociados=30243-30335-30223-30244-30233-30078-30301-30224-30300-30225-30429-30226-30022-30023-30024-30025-30227-30228-30229-30616-30617-30618-30026-30027-30028-30029-94031 | vacía=no
📄 Fila 137 → ref=30026 | desc=Bebedero pollos 2ª edad 8L Royal Rojo | padre=- | asociados=30243-30335-30223-30244-30233-30078-30301-30224-30300-30225-30429-30226-30022-30023-30024-30025-30227-30228-30229-30616-30617-30618-30026-30027-30028-30029-94031 | vacía=no
📄 Fila 138 → ref=30027 | desc=Bebedero pollos 2ª edad 8L Royal Azul | padre=- | asociados=30243-30335-30223-30244-30233-30078-30301-30224-30300-30225-30429-30226-30022-30023-30024-30025-30227-30228-30229-30616-30617-30618-30026-30027-30028-30029-94031 | vacía=no
📄 Fila 139 → ref=30028 | desc=Bebedero pollos 2ª edad 12L Royal Rojo | padre=- | asociados=30243-30335-30223-30244-30233-30078-30301-30224-30300-30225-30429-30226-30022-30023-30024-30025-30227-30228-30229-30616-30617-30618-30026-30027-30028-30029-94031 | vacía=no
📄 Fila 140 → ref=30029 | desc=Bebedero pollos 2ª edad 12L Royal Azul | padre=- | asociados=30243-30335-30223-30244-30233-30078-30301-30224-30300-30225-30429-30226-30022-30023-30024-30025-30227-30228-30229-30616-30617-30618-30026-30027-30028-30029-94031 | vacía=no
📄 Fila 141 → ref=30030 | desc=Bebedero aves 35L C/Patas (En caja 1 unidad) | padre=- | asociados=30167-30169-30165-30171-30173-30174-30175-30177-30012-30013-30016-30017-30020-30021-30030-30031-30271-30272-30273-94003 | vacía=no
📄 Fila 142 → ref=30031 | desc=Bebedero Aves 45L C/Patas (En caja 1 unidad) | padre=- | asociados=30167-30169-30165-30171-30173-30174-30175-30177-30012-30013-30016-30017-30020-30021-30030-30031-30271-30272-30273-94003 | vacía=no
📄 Fila 143 → ref=30032 | desc=Comedero Aves 35L C/Patas (En caja 1 unidad) | padre=- | asociados=30274-30275-30276-30170-30166-30173-30172-30168-30174-30176-30178-30014-30032-30020-30018-30015-30033-30021-30019-94010 | vacía=no
📄 Fila 144 → ref=30033 | desc=Comedero Aves 45L C/Patas (En caja 1 Unidad) | padre=- | asociados=30274-30275-30276-30170-30166-30173-30172-30168-30174-30176-30178-30014-30032-30020-30018-30015-30033-30021-30019-94010 | vacía=no
📄 Fila 145 → ref=30034 | desc=Comedero / Tolva Patos Safe-Feed 6kg - 10L Camuflaje | padre=- | asociados=30043-30043-30072-30073-30074-30075-30034-30035-30036-30037-30038-30039-94045 | vacía=no
📄 Fila 146 → ref=30035 | desc=Comedero / Tolva Patos Safe-Feed 12kg - 20L Camuflaje | padre=- | asociados=30043-30043-30072-30073-30074-30075-30034-30035-30036-30037-30038-30039-94045 | vacía=no
📄 Fila 147 → ref=30036 | desc=Comedero / Tolva Patos Safe-Feed 20kg - 33.5L Camuflaje | padre=- | asociados=30043-30043-30072-30073-30074-30075-30034-30035-30036-30037-30038-30039-94045 | vacía=no
📄 Fila 148 → ref=30037 | desc=Comedero / Tolva Patos Safe-Feed 30kg - 50L Camuflaje | padre=- | asociados=30043-30043-30072-30073-30074-30075-30034-30035-30036-30037-30038-30039-94045 | vacía=no
📄 Fila 149 → ref=30038 | desc=Comedero / Tolva Patos Safe-Feed 40kg - 67L Camuflaje | padre=- | asociados=30043-30043-30072-30073-30074-30075-30034-30035-30036-30037-30038-30039-94045 | vacía=no
📄 Fila 150 → ref=30039 | desc=Comedero / Tolva Patos Safe-Feed 50kg - 83.5L Camuflaje | padre=- | asociados=30043-30043-30072-30073-30074-30075-30034-30035-30036-30037-30038-30039-94045 | vacía=no
📄 Fila 151 → ref=30040 | desc=Gallinero movil 1.5x1.8MT Country | padre=- | asociados=30040-30041-94032 | vacía=no
📄 Fila 152 → ref=30041 | desc=Gallinero Fijo 1.5x1.8MT Country | padre=- | asociados=30040-30041-94032 | vacía=no
📄 Fila 153 → ref=30043 | desc=Comedero Tolva Patos Safe-Feed 6kg - 10L | padre=- | asociados=30043-30043-30072-30073-30074-30075-30034-30035-30036-30037-30038-30039-94045 | vacía=no
📄 Fila 154 → ref=30044 | desc=Comedero Tolva Patos Safe-Feed 12kg - 20L | padre=- | asociados=30043-30043-30072-30073-30074-30075-30034-30035-30036-30037-30038-30039-94045 | vacía=no
📄 Fila 155 → ref=30046 | desc=Caseta Patos C/Nido 64x44xh44CM Fenolico | padre=- | asociados=30046-30047-94043 | vacía=no
