======================
📦 DUMP ARRAY ORDENADO
======================
### Grupo parent: 215 elementos ###
   → REF=94209 | PADRE=- | DESC=Fitros de Agua
   → REF=94210 | PADRE=- | DESC=Racor Salida Depósito
   → REF=94211 | PADRE=- | DESC=Llaves de paso
   → REF=94212 | PADRE=- | DESC=Flotadores
   → REF=94213 | PADRE=- | DESC=Calefactor Infraconic
   → REF=94214 | PADRE=- | DESC=Mesa de cultivo
   → REF=94215 | PADRE=- | DESC=Metro Ángulo Estantería
   → REF=94216 | PADRE=- | DESC=Columna Estanterí
   → REF=94217 | PADRE=- | DESC=Malla alambre galvanizada
   → REF=94218 | PADRE=- | DESC=Rollo de malla de plástico
   → REF=94219 | PADRE=- | DESC=Kits de Riego
### Grupo variantes: 1343 elementos ###
   → REF=10107 | PADRE=- | DESC=Rejilla Reposa Patas de Plástico para c
   → REF=10109 | PADRE=- | DESC=Cubeta Nido Milán con sandwich
   → REF=10110 | PADRE=- | DESC=Nido exterior con tapa para conejos mode
   → REF=10114 | PADRE=- | DESC=Sandwich para Nido Penta de conejos
   → REF=10121 | PADRE=- | DESC=Válvula bebedero Racor 70 mm.
   → REF=10137 | PADRE=- | DESC=Nido con tapa para conejos modelo Brusel
   → REF=10138 | PADRE=- | DESC=Cubeta para Nido de conejos Bruselas
   → REF=10140 | PADRE=- | DESC=Cubeta para nido de conejos Penta sin re
   → REF=10141 | PADRE=- | DESC=Comedero de Acero Inoxidable con Soporte
   → REF=10142 | PADRE=- | DESC=Comedero de Acero Inoxidable con Soporte
   → REF=10143 | PADRE=- | DESC=Comedero de Acero Inoxidable con Soporte
   → REF=10147 | PADRE=- | DESC=Tubo de goma transparente 5x9 mm. - 25 m
   → REF=10149 | PADRE=- | DESC=Tubo de goma transparente 8x14 mm. - 25 
   → REF=10150 | PADRE=- | DESC=Comedero acero inoxidable con gancho - 0
   → REF=10151 | PADRE=- | DESC=Comedero acero inoxidable con gancho - 0
   → REF=10152 | PADRE=- | DESC=Comedero acero inoxidable con gancho - 0
   → REF=10242 | PADRE=- | DESC=Tolva Comedero para conejos con tapa - 3
   → REF=10243 | PADRE=- | DESC=Tolva Comedero para conejos con tapa - 4
   → REF=10247 | PADRE=- | DESC=Bebedero Mixto para conejos con boya
   → REF=10248 | PADRE=- | DESC=Bebedero Mixto para conejos con botella 
   → REF=10253 | PADRE=- | DESC=Tolva Comedero para conejos - 1 departam
   → REF=10255 | PADRE=- | DESC=Tolva Comedero para conejos - 4 departam
   → REF=10257 | PADRE=- | DESC=Tolva Comedero para conejos con tapa - 1
   → REF=10258 | PADRE=- | DESC=Tolva Comedero para conejos con tapa - 2
   → REF=10264 | PADRE=- | DESC=Derivación en "T"
   → REF=10265 | PADRE=- | DESC=Empalme de tubería de goma flexible
   → REF=10266 | PADRE=- | DESC=Rastrillo de limpieza para conejos
   → REF=10267 | PADRE=- | DESC=Alargadera recta para bebedero de conejo
   → REF=10268 | PADRE=- | DESC=Alargadera lisa para bebedero de conejos
   → REF=10274 | PADRE=- | DESC=Reducción tubo de 10 a 7 mm.
   → REF=10279 | PADRE=- | DESC=Alargadera recta para bebedero de chupet
   → REF=10280 | PADRE=- | DESC=Derivación en "T" reductora 10/7
   → REF=10281 | PADRE=- | DESC=Tubería flexible de goma gris 8x14 - Ro
   → REF=10282 | PADRE=- | DESC=Tubería flexible de goma gris 8x14 - Ro
   → REF=10283 | PADRE=- | DESC=Tubería flexible de goma
   → REF=10285 | PADRE=- | DESC=Empalme para tubo rígido PVC
   → REF=10288 | PADRE=- | DESC=Tolva Comedero para conejos - 3 departam
   → REF=10295 | PADRE=- | DESC=Botella de plástico para bebedero Mixto
   → REF=10297 | PADRE=- | DESC=Válvula Chupete para conejos
   → REF=10298 | PADRE=- | DESC=Bebedero Chupete para conejos Mod. W-200
   → REF=10299 | PADRE=- | DESC=Alargadera acodada para bebedero de chup
   → REF=10308 | PADRE=- | DESC=Pala para pienso de aluminio
   → REF=10309 | PADRE=- | DESC=Bebedero Chupete de acero inoxidable con
   → REF=10310 | PADRE=- | DESC=Tolva Comedero Especial para conejos - 2
   → REF=10312 | PADRE=- | DESC=Bebedero Chupete Reforzado de acero inox
   → REF=10315 | PADRE=- | DESC=Pala galvanizada para pienso
   → REF=10321 | PADRE=- | DESC=Bebedero Mixto para conejos sin botella
   → REF=10322 | PADRE=- | DESC=Tubo Rigido PVC 22x22 metro lineal
   → REF=10327 | PADRE=- | DESC=Bebedero Chupete para conejos con botell
   → REF=10328 | PADRE=- | DESC=Bebedero Chupete para conejos con Botell
   → REF=10334 | PADRE=- | DESC=Tolva Comedero para conejos - 10 Huecos
   → REF=10345 | PADRE=- | DESC=Tolva Comedero para conejos con tapa - 1
   → REF=10370 | PADRE=- | DESC=Bebedero Logis con válvula recta
   → REF=10371 | PADRE=- | DESC=Bebedero Logis para tubo rígido
   → REF=10372 | PADRE=- | DESC=Bebedero Logis con válvula acodada
   → REF=10373 | PADRE=- | DESC=Codo de Plástico
   → REF=10378 | PADRE=- | DESC=Bebedero Mini con boya
   → REF=10379 | PADRE=- | DESC=Bebedero Mini con botella 0,5 l.
   → REF=10380 | PADRE=- | DESC=Bebedero Mini con botella de 2 l.
   → REF=10381 | PADRE=- | DESC=Bebedero Mini sin botella
   → REF=10386 | PADRE=- | DESC=Botella de plástico para bebedero Mini 
   → REF=10387 | PADRE=- | DESC=Botella de plástico para bebedero Mini 
   → REF=10440 | PADRE=- | DESC=Abrazadera Sinfín
   → REF=10441 | PADRE=- | DESC=Racor principio ABS negro
   → REF=10442 | PADRE=- | DESC=Racor ampliación ABS negro
   → REF=10464 | PADRE=- | DESC=Válvula recta para Bebedero Logis
   → REF=10465 | PADRE=- | DESC=Junta Bebedero Logis a Tubo Rigido
   → REF=10469 | PADRE=- | DESC=Filtro de Agua con llave
   → REF=10470 | PADRE=- | DESC=Depósito Regulador de Agua 32 l.
   → REF=10472 | PADRE=- | DESC=Racor Salida Depósito
   → REF=10474 | PADRE=- | DESC=Válvula acodada para Bebedero Logis
   → REF=10475 | PADRE=- | DESC=Deposito Regulador de Agua 55 l.
   → REF=10483 | PADRE=- | DESC=Sandwich para fondo de Nido Milán
   → REF=10782 | PADRE=- | DESC=Bandeja Colectora Penta - 2 departamento
   → REF=10950 | PADRE=- | DESC=Jaula para conejos Penta 2 Plástico
   → REF=10952 | PADRE=- | DESC=Jaula para conejos Penta 2 Metal
   → REF=10954 | PADRE=- | DESC=Jaula para conejos Penta 4 Plástico
   → REF=10956 | PADRE=- | DESC=Jaula para conejos Penta 4 Metal
   → REF=10957 | PADRE=- | DESC=Nido Penta para conejos
   → REF=10960 | PADRE=- | DESC=Nido-Cuni
   → REF=10961 | PADRE=- | DESC=Jaula para conejos Penta 4 Plástico - 2
   → REF=10962 | PADRE=- | DESC=Jaula para conejos Penta 4 Metal - 2 dep
   → REF=10963 | PADRE=- | DESC=Jaula para conejos Penta 3 Plástico
   → REF=10964 | PADRE=- | DESC=Jaula para conejos Penta 3 Metal
   → REF=10965 | PADRE=- | DESC=Jaula para conejos Penta 3 Plástico - 2
   → REF=10966 | PADRE=- | DESC=Jaula para conejos Penta 3 Metal - 2 dep
   → REF=10967 | PADRE=- | DESC=Bandeja Colectora para Penta - 3 departa
   → REF=11174 | PADRE=- | DESC=Cesta Bruselas con tolvilla
   → REF=11315 | PADRE=- | DESC=Tolva Comedero Especial Machos
   → REF=11350 | PADRE=- | DESC=Cesta Marsella con tolvilla
   → REF=11351 | PADRE=- | DESC=Cesta Milán con tolvilla
   → REF=11482 | PADRE=- | DESC=Jaula Milán con patas y nido
   → REF=11483 | PADRE=- | DESC=Jaula Marsella con patas y nido
   → REF=11484 | PADRE=- | DESC=Jaula Milán con patas y sin nido
   → REF=11485 | PADRE=- | DESC=Jaula Marsella con patas y sin nido
   → REF=11653 | PADRE=- | DESC=Cubeta grande C-12 con sandwich
   → REF=11737 | PADRE=- | DESC=Cubeta Bruselas baja
   → REF=30003 | PADRE=- | DESC=Cruz de plástico - 10/10 mm.
   → REF=30004 | PADRE=- | DESC=Derivación en T - 7/7 mm.
   → REF=30007 | PADRE=- | DESC=Boca plast (a granel) Comed aves ant-des
   → REF=30008 | PADRE=- | DESC=Ponedero Colectavi Central Principio C/E
   → REF=30009 | PADRE=- | DESC=Ponedero Colectavi Central Ampliación C
   → REF=30012 | PADRE=- | DESC=Bebedero aves 35L C/ Patas (En caja 4 un
   → REF=30013 | PADRE=- | DESC=Bebedero Aves 45L C/Patas (En caja 4 uni
   → REF=30014 | PADRE=- | DESC=Comedero Aves 35L C/Patas (En caja 4 uni
   → REF=30015 | PADRE=- | DESC=Comedero Aves 45L C/Patas (En caja 4 Uni
   → REF=30016 | PADRE=- | DESC=Bebedero Aves 35L C/Patas (A granel)
   → REF=30017 | PADRE=- | DESC=Bebedero Aves 45L C/Patas (A granel)
   → REF=30018 | PADRE=- | DESC=Comedero Aves 35L C/Patas (A granel)
   → REF=30019 | PADRE=- | DESC=Comedero Aves 45L C/Patas (A granel)
   → REF=30020 | PADRE=- | DESC=Bebedero + Comedero Aves 35L C/Patas (Pa
   → REF=30021 | PADRE=- | DESC=Bebedero + Comedero Aves 45L C/Patas (Pa
   → REF=30022 | PADRE=- | DESC=Bebedero pollos 8L Royal Rojo
   → REF=30023 | PADRE=- | DESC=Bebedero pollos 8L Royal Azul
   → REF=30024 | PADRE=- | DESC=Bebedero pollos 12L Royal Rojo
   → REF=30025 | PADRE=- | DESC=Bebedero pollos 12L Royal Azul
   → REF=30026 | PADRE=- | DESC=Bebedero pollos 2ª edad 8L Royal Rojo
   → REF=30027 | PADRE=- | DESC=Bebedero pollos 2ª edad 8L Royal Azul
   → REF=30028 | PADRE=- | DESC=Bebedero pollos 2ª edad 12L Royal Rojo
   → REF=30029 | PADRE=- | DESC=Bebedero pollos 2ª edad 12L Royal Azul
   → REF=30030 | PADRE=- | DESC=Bebedero aves 35L C/Patas (En caja 1 uni
   → REF=30031 | PADRE=- | DESC=Bebedero Aves 45L C/Patas (En caja 1 uni
   → REF=30032 | PADRE=- | DESC=Comedero Aves 35L C/Patas (En caja 1 uni
   → REF=30033 | PADRE=- | DESC=Comedero Aves 45L C/Patas (En caja 1 Uni
   → REF=30034 | PADRE=- | DESC=Comedero / Tolva Patos Safe-Feed 6kg - 1
   → REF=30035 | PADRE=- | DESC=Comedero / Tolva Patos Safe-Feed 12kg - 
   → REF=30036 | PADRE=- | DESC=Comedero / Tolva Patos Safe-Feed 20kg - 
   → REF=30037 | PADRE=- | DESC=Comedero / Tolva Patos Safe-Feed 30kg - 
   → REF=30038 | PADRE=- | DESC=Comedero / Tolva Patos Safe-Feed 40kg - 
   → REF=30039 | PADRE=- | DESC=Comedero / Tolva Patos Safe-Feed 50kg - 
   → REF=30040 | PADRE=- | DESC=Gallinero movil 1.5x1.8MT Country
   → REF=30041 | PADRE=- | DESC=Gallinero Fijo 1.5x1.8MT Country
   → REF=30043 | PADRE=- | DESC=Comedero Tolva Patos Safe-Feed 6kg - 10L
   → REF=30046 | PADRE=- | DESC=Caseta Patos C/Nido 64x44xh44CM Fenolico
   → REF=30047 | PADRE=- | DESC=Caseta Patos C/Nido 69x69xh44CM Fenolico
   → REF=30049 | PADRE=- | DESC=Tolva Galvanizada 500kg Patos
   → REF=30050 | PADRE=- | DESC=Tolva Galvanizada 100kg Patos
   → REF=30051 | PADRE=- | DESC=Tolva exterior 50kg Patos
   → REF=30052 | PADRE=- | DESC=Alfombrilla trebol para nido
   → REF=30053 | PADRE=- | DESC=Corona Diametro 60mm
   → REF=30054 | PADRE=- | DESC=Boca plastico comedero perdices anti-des
   → REF=30057 | PADRE=- | DESC=Boca de plástico comedero anti-desperdi
   → REF=30058 | PADRE=- | DESC=Depósito 55 l. con 2 bocas comedero ant
   → REF=30062 | PADRE=- | DESC=Comedero Tolva Exterior Aves Camuflaje 1
   → REF=30063 | PADRE=- | DESC=Comedero Tolva Exterior Aves Camuflaje 2
   → REF=30064 | PADRE=- | DESC=Comedero Tolva Exterior Aves Camuflaje 4
   → REF=30065 | PADRE=- | DESC=Comedero Tolva Exterior Aves Camuflaje 8
   → REF=30066 | PADRE=- | DESC=Comedero Tolva Aves Safeed 6Kg -  10L Ca
   → REF=30067 | PADRE=- | DESC=Comedero Tolva Aves Safeed 12Kg -  20L C
   → REF=30068 | PADRE=- | DESC=Comedero Tolva Aves Safeed 20Kg -  33.5L
   → REF=30069 | PADRE=- | DESC=Comedero Tolva Aves Safeed 30Kg -  50L C
   → REF=30070 | PADRE=- | DESC=Comedero Tolva Aves Safeed 40Kg -  67L C
   → REF=30071 | PADRE=- | DESC=Comedero Tolva Aves Safeed 50Kg -  83.5L
   → REF=30072 | PADRE=- | DESC=Comedero Tolva Patos Safe-Feed 20kg - 33
   → REF=30073 | PADRE=- | DESC=Comedero Tolva Patos Safe-Feed 30kg - 50
   → REF=30074 | PADRE=- | DESC=Comedero Tolva Patos Safe-Feed 40kg - 67
   → REF=30075 | PADRE=- | DESC=Comedero Tolva Patos Safe-Feed 50kg - 83
   → REF=30078 | PADRE=- | DESC=Pack Comedero + Bebedero Pollitos 1ª Ed
   → REF=30079 | PADRE=- | DESC=Gallinero Movil 1x1.2M S/Kit Camuflaje F
   → REF=30080 | PADRE=- | DESC=Gallinero Movil 1x1.2M C/Kit Camuflaje F
   → REF=30081 | PADRE=- | DESC=Gallinero Movil 1.5x1.8M S/Kit Camuflaje
   → REF=30082 | PADRE=- | DESC=Gallinero Movil 1.5x1.8M C/Kit Camuflaje
   → REF=30083 | PADRE=- | DESC=Kit inciación ponedoras Free-Range Reci
   → REF=30084 | PADRE=- | DESC=Comedero Metal Aves C/6 Bocas Antidesper
   → REF=30095 | PADRE=- | DESC=Comedero Tolva Exterior Aves 80L C/Viser
   → REF=30096 | PADRE=- | DESC=Depósito regulador rectangular 7L C/Fil
